"Sens Factor =0.532dB, AGain =18dB, SERNO: 7101790"
10.054	-3.1441
10.179	-2.9865
10.306	-2.8321
10.434	-2.6809
10.564	-2.5329
10.696	-2.3880
10.829	-2.2462
10.964	-2.1075
11.1	-1.9718
11.238	-1.8390
11.378	-1.7093
11.52	-1.5825
11.663	-1.4586
11.809	-1.3376
11.956	-1.2194
12.104	-1.1039
12.255	-0.9913
12.408	-0.8814
12.562	-0.7743
12.718	-0.6697
12.877	-0.5679
13.037	-0.4686
13.199	-0.3720
13.364	-0.2779
13.53	-0.1862
13.698	-0.0971
13.869	-0.0104
14.042	0.0738
14.216	0.1557
14.393	0.2352
14.573	0.3124
14.754	0.3873
14.938	0.4600
15.124	0.5304
15.312	0.5986
15.503	0.6647
15.696	0.7286
15.891	0.7905
16.089	0.8503
16.289	0.9080
16.492	0.9638
16.697	1.0176
16.905	1.0694
17.115	1.1194
17.328	1.1675
17.544	1.2137
17.763	1.2582
17.984	1.3008
18.208	1.3418
18.434	1.3810
18.664	1.4185
18.896	1.4544
19.131	1.4887
19.369	1.5214
19.611	1.5526
19.855	1.5822
20.102	1.6104
20.352	1.6371
20.605	1.6624
20.862	1.6863
21.122	1.7089
21.385	1.7301
21.651	1.7500
21.92	1.7687
22.193	1.7862
22.47	1.8024
22.749	1.8175
23.032	1.8315
23.319	1.8444
23.609	1.8562
23.903	1.8670
24.201	1.8768
24.502	1.8856
24.807	1.8935
25.116	1.9005
25.429	1.9066
25.745	1.9119
26.066	1.9163
26.39	1.9200
26.719	1.9230
27.051	1.9252
27.388	1.9268
27.729	1.9277
28.074	1.9280
28.424	1.9277
28.778	1.9269
29.136	1.9256
29.499	1.9238
29.866	1.9215
30.238	1.9188
30.614	1.9157
30.995	1.9123
31.381	1.9086
31.772	1.9045
32.167	1.9002
32.568	1.8957
32.973	1.8910
33.383	1.8861
33.799	1.8811
34.22	1.8760
34.646	1.8708
35.077	1.8656
35.514	1.8605
35.956	1.8554
36.403	1.8502
36.857	1.8450
37.315	1.8396
37.78	1.8340
38.25	1.8284
38.726	1.8226
39.209	1.8166
39.697	1.8105
40.191	1.8041
40.691	1.7974
41.198	1.7903
41.711	1.7827
42.23	1.7746
42.756	1.7660
43.288	1.7571
43.827	1.7478
44.372	1.7384
44.925	1.7289
45.484	1.7193
46.05	1.7098
46.623	1.7004
47.204	1.6913
47.791	1.6823
48.386	1.6736
48.989	1.6650
49.599	1.6566
50.216	1.6483
50.841	1.6401
51.474	1.6320
52.115	1.6241
52.764	1.6162
53.42	1.6086
54.085	1.6013
54.759	1.5942
55.44	1.5875
56.131	1.5813
56.829	1.5753
57.537	1.5695
58.253	1.5639
58.978	1.5582
59.712	1.5525
60.456	1.5466
61.208	1.5405
61.97	1.5342
62.742	1.5277
63.523	1.5210
64.314	1.5142
65.114	1.5072
65.925	1.5002
66.745	1.4931
67.576	1.4861
68.418	1.4793
69.269	1.4728
70.132	1.4665
71.005	1.4604
71.889	1.4546
72.784	1.4488
73.69	1.4430
74.607	1.4372
75.536	1.4315
76.476	1.4257
77.428	1.4198
78.392	1.4140
79.368	1.4081
80.356	1.4021
81.356	1.3961
82.369	1.3902
83.394	1.3842
84.433	1.3783
85.484	1.3722
86.548	1.3661
87.625	1.3598
88.716	1.3533
89.82	1.3465
90.939	1.3395
92.071	1.3321
93.217	1.3242
94.377	1.3160
95.552	1.3074
96.742	1.2986
97.946	1.2897
99.165	1.2807
100.4	1.2718
101.65	1.2630
102.915	1.2545
104.196	1.2463
105.493	1.2385
106.806	1.2312
108.136	1.2242
109.482	1.2177
110.845	1.2115
112.225	1.2057
113.622	1.2002
115.037	1.1951
116.469	1.1903
117.919	1.1859
119.386	1.1817
120.873	1.1778
122.377	1.1741
123.901	1.1707
125.443	1.1673
127.005	1.1636
128.586	1.1593
130.187	1.1542
131.807	1.1481
133.448	1.1410
135.109	1.1329
136.791	1.1239
138.494	1.1144
140.218	1.1044
141.964	1.0942
143.731	1.0839
145.52	1.0737
147.332	1.0637
149.166	1.0541
151.023	1.0449
152.903	1.0360
154.806	1.0274
156.734	1.0191
158.685	1.0108
160.66	1.0029
162.66	0.9957
164.685	0.9893
166.735	0.9835
168.811	0.9781
170.912	0.9729
173.04	0.9678
175.194	0.9626
177.375	0.9573
179.583	0.9517
181.819	0.9460
184.082	0.9402
186.374	0.9343
188.694	0.9284
191.043	0.9225
193.421	0.9169
195.829	0.9115
198.267	0.9064
200.735	0.9014
203.234	0.8963
205.764	0.8909
208.325	0.8853
210.919	0.8796
213.544	0.8740
216.203	0.8687
218.894	0.8639
221.619	0.8597
224.378	0.8560
227.171	0.8527
229.999	0.8497
232.862	0.8469
235.761	0.8443
238.696	0.8417
241.668	0.8388
244.676	0.8357
247.722	0.8320
250.806	0.8278
253.928	0.8233
257.089	0.8186
260.29	0.8139
263.53	0.8095
266.81	0.8051
270.132	0.8002
273.495	0.7946
276.899	0.7885
280.346	0.7818
283.836	0.7746
287.37	0.7669
290.947	0.7588
294.569	0.7506
298.236	0.7424
301.949	0.7343
305.708	0.7264
309.513	0.7187
313.366	0.7113
317.267	0.7039
321.217	0.6962
325.216	0.6880
329.264	0.6792
333.363	0.6696
337.513	0.6596
341.715	0.6492
345.969	0.6388
350.276	0.6284
354.636	0.6183
359.051	0.6087
363.521	0.5997
368.046	0.5915
372.628	0.5841
377.266	0.5775
381.963	0.5715
386.718	0.5660
391.532	0.5604
396.406	0.5546
401.341	0.5482
406.337	0.5408
411.395	0.5332
416.517	0.5254
421.702	0.5173
426.951	0.5091
432.266	0.5007
437.648	0.4921
443.096	0.4833
448.612	0.4745
454.196	0.4657
459.851	0.4569
465.575	0.4484
471.371	0.4401
477.239	0.4320
483.18	0.4240
489.195	0.4160
495.285	0.4080
501.45	0.3999
507.693	0.3916
514.013	0.3829
520.412	0.3740
526.89	0.3649
533.449	0.3558
540.09	0.3468
546.814	0.3381
553.621	0.3297
560.513	0.3218
567.49	0.3142
574.555	0.3070
581.707	0.3001
588.949	0.2934
596.281	0.2867
603.703	0.2800
611.219	0.2732
618.828	0.2661
626.531	0.2588
634.331	0.2514
642.228	0.2438
650.222	0.2363
658.317	0.2292
666.512	0.2231
674.809	0.2179
683.21	0.2132
691.715	0.2087
700.326	0.2042
709.044	0.1995
717.871	0.1945
